,accuracy
predicted_bias_1examples_plurality_5,0.5434782608695652
predicted_bias_1examples_plurality_7,0.5652173913043478
predicted_bias_1examples_plurality_9,0.5434782608695652
predicted_bias_1examples,0.6304347826086957
predicted_bias_3examples_plurality_5,0.5434782608695652
predicted_bias_3examples_plurality_7,0.5434782608695652
predicted_bias_3examples_plurality_9,0.5434782608695652
predicted_bias_3examples,0.6521739130434783
predicted_bias_5examples_plurality_5,0.6739130434782609
predicted_bias_5examples_plurality_7,0.6086956521739131
predicted_bias_5examples_plurality_9,0.6739130434782609
predicted_bias_5examples,0.5652173913043478
