titolo,link,data,giornale,raw_pred,bias,reason
"Israele, Hamas annuncia: "" Lanciati 150 razzi su Tel Aviv"". Le immagini",https://video.repubblica.it/mondo/israele-hamas-annuncia-lanciati-150-razzi-su-tel-aviv-le-immagini/454169/455134?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi solo sulle azioni di Hamas senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi solo sulle azioni di Hamas senza considerare il contesto più ampio del conflitto.
Israele dopo 50 anni preso di nuovo di sorpresa nell’anniversario della guerra del Kippur,https://www.repubblica.it/esteri/2023/10/07/news/guerra_yom_kippur_attacco_israele-417159929/?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sull'aspetto della sorpresa per Israele senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi sull'aspetto della sorpresa per Israele senza considerare il contesto più ampio del conflitto.
"Israele, i deltaplani d’assalto che hanno aperto la breccia",https://www.repubblica.it/esteri/2023/10/07/news/palestinesi_deltaplano_attacco_israele-417158177/?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo sembra enfatizzare l'aspetto militare di Israele senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra enfatizzare l'aspetto militare di Israele senza considerare il contesto più ampio del conflitto.
"Il dolore dei fedeli alla Sinagoga di Roma: ""I razzi contro Israele ci fanno rivivere l'attentato al Tempio di 41 anni fa. Non è cambiato niente""",https://roma.repubblica.it/cronaca/2023/10/07/news/razzi_hamas_israele_sinagoga_roma-417147756/?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sul dolore dei fedeli e sulle analogie storiche, senza approfondire il contesto attuale del conflitto."", ""bias"":""no_bias""}uu",no_bias,"L'articolo sembra concentrarsi sul dolore dei fedeli e sulle analogie storiche, senza approfondire il contesto attuale del conflitto."
"Che cos’è Hamas, chi la finanzia, quali sono i suoi obiettivi e perché ha attaccato Israele proprio ora",https://www.repubblica.it/esteri/2023/10/07/news/hamas_chi_e_palestina_attacco_israele-417144960/?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo fornisce informazioni neutrali e approfondite su Hamas senza giustificare le azioni di Israele."", ""bias"":""no_bias""}uu",no_bias,L'articolo fornisce informazioni neutrali e approfondite su Hamas senza giustificare le azioni di Israele.
"Israele, miliziani di Hamas uccidono e sequestrano civili nelle città del Sud",https://video.repubblica.it/mondo/israele-miliziani-di-hamas-uccidono-e-sequestrano-civili-nelle-citta-del-sud/454138/455103?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi solo sulle azioni negative di Hamas senza menzionare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi solo sulle azioni negative di Hamas senza menzionare il contesto più ampio del conflitto.
"Israele, la diretta del 7 ottobre: attacco di Hamas con la Tempesta al-Aqsa:",https://www.repubblica.it/esteri/2023/10/07/diretta/israele_hamas_attacco_palestinese_gaza-417121165/?ref=search,2023-10-07,Repubblica,"{""reason"": ""Il titolo sembra enfatizzare l'attacco di Hamas senza menzionare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,Il titolo sembra enfatizzare l'attacco di Hamas senza menzionare il contesto più ampio del conflitto.
"Migliaia di razzi contro Israele lanciati da Gaza, l'esercito: “Irruzione militare nelle città"". Hamas rivendica: “Nuova operazione militare”",https://www.repubblica.it/esteri/2023/10/07/news/decine_di_razzi_contro_israele_lanciati_da_gaza-417108099/?ref=search,2023-10-07,Repubblica,"{""reason"": ""L'articolo fornisce informazioni su entrambe le azioni di Hamas e di Israele senza mostrare un bias evidente."", ""bias"":""no_bias""}uu",no_bias,L'articolo fornisce informazioni su entrambe le azioni di Hamas e di Israele senza mostrare un bias evidente.
"Da Berlino a New York, estremisti pro-Hamas festeggiano l’attacco a Israele",https://www.repubblica.it/esteri/2023/10/08/news/berlino_londra_new_york_hamas_festeggiamenti-417244066/?ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi solo sugli estremisti pro-Hamas senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi solo sugli estremisti pro-Hamas senza considerare il contesto più ampio del conflitto.
"Noa, Shani, le sorelline e i lavoratori thailandesi: chi sono gli ostaggi presi da Hamas in Israele",https://www.repubblica.it/esteri/2023/10/08/news/ostaggi_israeliani_hamas_storie-417224744/?ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sugli ostaggi presi da Hamas senza considerare il contesto più ampio del conflitto israelo-palestinese."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi sugli ostaggi presi da Hamas senza considerare il contesto più ampio del conflitto israelo-palestinese.
Israele colpito al cuore,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/08/israele-colpito-al-cuore01.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-08,Repubblica,"{""reason"": ""Il titolo potrebbe far pensare che Israele sia la vittima senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,Il titolo potrebbe far pensare che Israele sia la vittima senza considerare il contesto più ampio del conflitto.
Hamas trascina  Israeleinguerra,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/08/hamas-trascina-israeleinguerra02.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo sembra attribuire la responsabilità del conflitto principalmente a Hamas, senza considerare il contesto più ampio."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo sembra attribuire la responsabilità del conflitto principalmente a Hamas, senza considerare il contesto più ampio."
Un colpo a Israele e l’altro ai sauditi  Il doppio fronte degli amici dell’Iran,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2023/10/08/un-colpo-a-israele-e-laltro-ai-sauditi-il-doppio-delliran06.html&hl=&query=palestinese&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sull'aspetto geopolitico senza enfatizzare un particolare bias a favore di Israele."", ""bias"":""no_bias""}uu",no_bias,L'articolo sembra concentrarsi sull'aspetto geopolitico senza enfatizzare un particolare bias a favore di Israele.
Un colpo a Israele e l’altro ai sauditi. Il doppio fronte degli amici dell’Iran,https://www.repubblica.it/esteri/2023/10/08/news/iran_attacco_israele_sauditi_russia-417189354/?ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi sull'Iran e sugli alleati dell'Iran, senza enfatizzare un particolare bias a favore di Israele."", ""bias"":""no_bias""}uu",no_bias,"L'articolo sembra concentrarsi sull'Iran e sugli alleati dell'Iran, senza enfatizzare un particolare bias a favore di Israele."
Hamas trascina Israele in guerra,https://www.repubblica.it/esteri/2023/10/08/news/sderot_attacco_israele_hamas_guerra-417194321/?ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo attribuisce la responsabilità del conflitto unicamente a Hamas, senza considerare il contesto più ampio."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo attribuisce la responsabilità del conflitto unicamente a Hamas, senza considerare il contesto più ampio."
"Israele - Hamas, le news dell’8 ottobre. Carri armati verso Gaza. Wsj: “Iran ha aiutato Hamas a pianificare l’attacco”. Oltre 700 i morti, 2.500 i feriti. I morti tra i palestinesi sono 413. Biden ordina ulteriore sostegno a Israele dopo l'attacco. Cittadini americani e tedeschi tra gli ostaggi di Hamas",https://www.repubblica.it/esteri/2023/10/08/diretta/israele_usa_discutiamo_di_possibili_aiuti_militari_attacco_di_hamas_con_loperazione_tempesta_netanyahu_ci_vendicherem-417199668/?ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo fornisce informazioni dettagliate sugli eventi senza mostrare un bias a favore di una delle parti in conflitto."", ""bias"":""no_bias""}uu",no_bias,L'articolo fornisce informazioni dettagliate sugli eventi senza mostrare un bias a favore di una delle parti in conflitto.
"Attacco a Israele, pick-up, deltaplani, moto e missili: così Hamas ha agito a sorpresa",https://www.repubblica.it/esteri/2023/10/07/news/attacco_israele_hamas_oggi_missili-417139765/?ref=search,2023-10-08,Repubblica,"{""reason"": ""L'articolo sembra concentrarsi solo sulle azioni di Hamas senza considerare il contesto più ampio del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra concentrarsi solo sulle azioni di Hamas senza considerare il contesto più ampio del conflitto.
Israele ha rimosso il problema Hamas,https://www.repubblica.it/commenti/2023/10/09/news/cosa_ci_insegna_lerrore_di_israele-417384528/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra giustificare le azioni di Israele senza considerare la complessità del conflitto e senza menzionare il contesto delle violenze."", ""bias"":""pro_israele""}uu",pro_israele,L'articolo sembra giustificare le azioni di Israele senza considerare la complessità del conflitto e senza menzionare il contesto delle violenze.
"La colpa degli Usa e le armi di Kiev ad Hamas, la contronarrazione di Mosca sull'attacco contro Israele",https://www.repubblica.it/esteri/2023/10/09/news/russia_hamas_ucraina_armi_attacco_israele-417376209/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo sembra attribuire la responsabilità degli attacchi ad Hamas e mette in discussione la versione degli USA, senza considerare la complessità del conflitto."", ""bias"":""pro_israele""}uu",pro_israele,"L'articolo sembra attribuire la responsabilità degli attacchi ad Hamas e mette in discussione la versione degli USA, senza considerare la complessità del conflitto."
"Israele verso una guerra nuova. Tutte le incognite: geografia, rischio perdite umane e allargamento del conflitto",https://www.repubblica.it/esteri/2023/10/09/news/conflitto_israele_palestina_come_inizio_potrebbe_andare-417362049/?ref=search,2023-10-09,Repubblica,"{""reason"": ""L'articolo analizza in modo neutrale le possibili conseguenze di un'escalation del conflitto senza prendere posizioni a favore di una delle parti in causa."", ""bias"":""no_bias""}uu",no_bias,L'articolo analizza in modo neutrale le possibili conseguenze di un'escalation del conflitto senza prendere posizioni a favore di una delle parti in causa.
