titolo,link,data,giornale,parola
"""Via Israele dalla Biennale di Venezia"": l'ultimo sfregio degli artisti pro-Gaza",https://www.liberoquotidiano.it/news/italia/38581625/beinnale-venezia-artisti-pro-gaza-via-isarele-mostra.html,2024-02-28,Libero,antisemitismo
Ecco come Stalin inventò l'antisemitismo comunista: alle radici dell'odio contro Israele,https://www.liberoquotidiano.it/news/esteri/38560290/israele-stalin-invento-antisemitismo-comunista.html,2024-02-26,Libero,antisemitismo
Marco Patricelli: così Stalin inventò l'antisemitismo comunista,https://www.liberoquotidiano.it/news/piulibero/38560110/macro-patricelli-stalin-antisemitismo-comunista.html,2024-02-26,Libero,antisemitismo
"Daily Crown: William, 'troppi morti nella guerra tra Israele e Hamas'",https://www.liberoquotidiano.it/news/adnkronos/38500891/daily-crown-william-troppi-morti-nella-guerra-tra-israele-e-hamas-.html,2024-02-20,Libero,antisemitismo
"Se Lula, idolo della sinistra, paragona Israele a Hitler",https://www.liberoquotidiano.it/news/esteri/38489506/lula-idolo-sinistro-israele-come-hitler.html,2024-02-19,Libero,antisemitismo
L'ultimo sfregio alla Meloni rivela l'odio rosso degli ultras di Gaza | Guarda,https://www.liberoquotidiano.it/news/politica/38478366/giorgia-meloni-sfregio-pro-gaza-bruciate-foto-premier.html,2024-02-18,Libero,antisemitismo
"""Antisemitismo negli elettori Pd e 5s"": il sondaggio su Ghali scatena la bagarre in tv",https://www.liberoquotidiano.it/news/spettacoli/38455780/piazza-pulita-bocchino-antisemitismo-elettori-pd-5s-bagarre-tv.html,2024-02-16,Libero,antisemitismo
"""La Santa Sede parla solo di Gaza e non vede l'Iran"": intervista a Raphael Schutz, ambasciatore israeliano in Vaticano",https://www.liberoquotidiano.it/news/esteri/38446211/raphael-schutz-ambasciatore-israele-vaticano-santa-sede-gaza-iran.html,2024-02-15,Libero,antisemitismo
"Mario Sechi: c'è un errore su Gaza, il cessate il fuoco",https://www.liberoquotidiano.it/news/piulibero/38435261/mario-sechi-errore-gaza-cessate-fuoco.html,2024-02-14,Libero,antisemitismo
"""Ogni cretino è pieno di idee"": Ghali? ""Repubblica"" affondata dalla sua firma",https://www.liberoquotidiano.it/news/spettacoli/38426276/repubblica-francesco-merlo-ghali-scandalo-simao-noi-cretino-pieno-idee.html,2024-02-13,Libero,antisemitismo
"""Cosa abbiamo scoperto subito dopo Sanremo"": Senaldi smaschera Ghali & Co.",https://www.liberoquotidiano.it/news/spettacoli/38422066/prima-di-domani-senaldi-smaschera-ghali-ucraina-niente.html,2024-02-12,Libero,antisemitismo
"Mo: Terzi (Fdi), 'inaccettabile tweet dottoressa Albanese su massacro 7 ottobre'",https://www.liberoquotidiano.it/news/adnkronos/38416855/mo-terzi-fdi-inaccettabile-tweet-dottoressa-albanese-su-massacro-7-ottobre-.html,2024-02-12,Libero,antisemitismo
"Negato l'ingresso: la reazione di Israele dopo gli insulti, Francesca Albanese resta fuori",https://www.liberoquotidiano.it/news/esteri/38416310/francesca-albenese-israele-nega-ingresso.html,2024-02-12,Libero,antisemitismo
"Mo: Terzi (Fdi), 'Albanese va rimossa da incarico'",https://www.liberoquotidiano.it/news/adnkronos/38415535/mo-terzi-fdi-albanese-va-rimossa-da-incarico-.html,2024-02-12,Libero,antisemitismo
"""Ebreo, devi morire: ecco come mi insultano e mi minacciano"": la testimonianza di David Zebuloni",https://www.liberoquotidiano.it/news/italia/38414296/david-zebuloni-testimonianza-ebreo-morire-cosi-insultano.html,2024-02-12,Libero,antisemitismo
"David Zebuloni: così mi insultano, ""ebreo devi morire""",https://www.liberoquotidiano.it/news/piulibero/38414130/david-zebuloni-cosi-mi-insultano-ebreo-morire.html,2024-02-12,Libero,antisemitismo
"Sanremo: Napoli (Az), 'sconcerto per Ghali, in sue parole seme antisemitismo'",https://www.liberoquotidiano.it/news/adnkronos/38408975/sanremo-napoli-az-sconcerto-per-ghali-in-sue-parole-seme-antisemitismo-.html,2024-02-11,Libero,antisemitismo
Dal 7 ottobre raddoppiati i casi di antisemitismo in Italia: colpa della propaganda,https://www.liberoquotidiano.it/news/italia/38395400/israele-7-ottobre-antisemitismo-italia-propaganda.html,2024-02-10,Libero,antisemitismo
Elena Basile rincara contro Liliana Segre? Non possiede nemmeno l'istinto di conservazione,https://www.liberoquotidiano.it/news/personaggi/38370975/elena-basile-liliana-segre-istinto-conservazione.html,2024-02-09,Libero,antisemitismo
"Shoah, Ceci (Tor Vergata): ""Incontri con protagonisti essenziali per comprendere passato""",https://www.liberoquotidiano.it/news/adnkronos/38371436/shoah-ceci-tor-vergata-incontri-con-protagonisti-essenziali-per-comprendere-passato-.html,2024-02-08,Libero,antisemitismo
"""Il popolo palestinese combatte per un ideale"". Delirio di Sandra Amurri, Annalisa Chirico si infuria",https://www.liberoquotidiano.it/news/spettacoli/televisione/38355737/e-sempre-cartabianca-amurri-hamas-ideale-reazione-chirico.html,2024-02-07,Libero,antisemitismo
"**Mo: Hannoun (Api), 'ogni sabato speriamo sia ultimo corteo, ma avanti fino alla pace'**",https://www.liberoquotidiano.it/news/adnkronos/38321067/-mo-hannoun-api-ogni-sabato-speriamo-sia-ultimo-corteo-ma-avanti-fino-alla-pace-.html,2024-02-03,Libero,antisemitismo
"""Gli ebrei hanno paura, gli studenti israeliani si sentono rifiutati"": l'intervista al rabbino capo di Milano",https://www.liberoquotidiano.it/news/personaggi/38295835/alfonso-pedatzur-arbib-rabbino-capo-milano-ebrei-paura-studenti-israeliani-rifiutati.html,2024-02-01,Libero,antisemitismo
"Firenze, molotov contro il Consolato Usa: gesto nella notte, una pista inquietante",https://www.liberoquotidiano.it/news/italia/38294247/firenze-molotov-consolato-usa-pista-inquietante.html,2024-02-01,Libero,antisemitismo
"Germania, sopravvissuta Shoah: belle le piazze contro estrema destra",https://www.liberoquotidiano.it/video/tv-news/38288512/germania-sopravvissuta-shoah-belle-le-piazze-contro-estrema-destra.html,2024-01-31,Libero,antisemitismo
"""Aizzano l'antisemitismo"": la comunità ebraica durissima contro Pd e M5s",https://www.liberoquotidiano.it/news/milano/38284187/comunita-ebraica-pd-m5s-urlano-genocidio-aizzano-antisemitismo.html,2024-01-31,Libero,antisemitismo
